date,borough,total_trips
2025-01-20 00:00:00,Manhattan,54679
2025-01-20 00:00:00,Queens,11190
2025-01-20 00:00:00,Staten Island,3
2025-01-20 00:00:00,Unknown,203
2025-01-21 00:00:00,Bronx,233
2025-01-21 00:00:00,Brooklyn,850
2025-01-21 00:00:00,EWR,1
2025-01-21 00:00:00,Manhattan,82770
2025-01-21 00:00:00,Queens,8975
2025-01-21 00:00:00,Staten Island,1
2025-01-21 00:00:00,Unknown,214
2025-01-22 00:00:00,Bronx,219
2025-01-22 00:00:00,Brooklyn,883
2025-01-22 00:00:00,EWR,1
2025-01-22 00:00:00,Manhattan,91472
2025-01-22 00:00:00,Queens,7192
2025-01-22 00:00:00,Staten Island,2
2025-01-22 00:00:00,Unknown,307
2025-01-23 00:00:00,Bronx,292
2025-01-23 00:00:00,Brooklyn,931
2025-01-23 00:00:00,EWR,3
2025-01-23 00:00:00,Manhattan,98393
2025-01-23 00:00:00,Queens,7608
2025-01-23 00:00:00,Staten Island,2
2025-01-23 00:00:00,Unknown,314
2025-01-24 00:00:00,Bronx,248
2025-01-24 00:00:00,Brooklyn,972
2025-01-24 00:00:00,EWR,2
2025-01-24 00:00:00,Manhattan,93723
2025-01-24 00:00:00,Queens,7636
2025-01-24 00:00:00,Staten Island,1
2025-01-24 00:00:00,Unknown,291
2025-01-25 00:00:00,Bronx,173
2025-01-25 00:00:00,Brooklyn,684
2025-01-25 00:00:00,EWR,4
2025-01-25 00:00:00,Manhattan,100042
2025-01-25 00:00:00,Queens,5637
2025-01-25 00:00:00,Staten Island,3
2025-01-25 00:00:00,Unknown,288
2025-01-26 00:00:00,Bronx,160
2025-01-26 00:00:00,Brooklyn,689
2025-01-26 00:00:00,EWR,3
2025-01-26 00:00:00,Manhattan,70918
2025-01-26 00:00:00,Queens,8382
2025-01-26 00:00:00,Staten Island,1
2025-01-26 00:00:00,Unknown,219
2025-01-27 00:00:00,Bronx,277
2025-01-27 00:00:00,Brooklyn,868
2025-01-27 00:00:00,EWR,3
2025-01-27 00:00:00,Manhattan,71131
2025-01-27 00:00:00,Queens,8213
2025-01-27 00:00:00,Staten Island,1
2025-01-27 00:00:00,Unknown,205
2025-01-28 00:00:00,Bronx,261
2025-01-28 00:00:00,Brooklyn,919
2025-01-28 00:00:00,EWR,2
2025-01-28 00:00:00,Manhattan,86955
2025-01-28 00:00:00,Queens,6946
2025-01-28 00:00:00,Staten Island,2
2025-01-28 00:00:00,Unknown,287
2025-01-29 00:00:00,Bronx,244
2025-01-29 00:00:00,Brooklyn,971
2025-01-29 00:00:00,EWR,1
2025-01-29 00:00:00,Manhattan,91617
2025-01-29 00:00:00,Queens,7589
2025-01-29 00:00:00,Staten Island,4
2025-01-29 00:00:00,Unknown,303
2025-01-30 00:00:00,Bronx,240
2025-01-30 00:00:00,Brooklyn,1013
2025-01-30 00:00:00,EWR,2
2025-01-30 00:00:00,Manhattan,98383
2025-01-30 00:00:00,Queens,7648
2025-01-30 00:00:00,Staten Island,2
2025-01-30 00:00:00,Unknown,301
2025-01-31 00:00:00,Bronx,271
2025-01-31 00:00:00,Brooklyn,965
2025-01-31 00:00:00,EWR,2
2025-01-31 00:00:00,Manhattan,91252
2025-01-31 00:00:00,Queens,7453
2025-01-31 00:00:00,Staten Island,2
2025-01-31 00:00:00,Unknown,313
2025-02-01 00:00:00,Bronx,164
2025-02-01 00:00:00,Brooklyn,727
2025-02-01 00:00:00,EWR,2
2025-02-01 00:00:00,Manhattan,100372
2025-02-01 00:00:00,Queens,5700
2025-02-01 00:00:00,Staten Island,2
2025-02-01 00:00:00,Unknown,309
2025-02-02 00:00:00,Bronx,171
2025-02-02 00:00:00,Brooklyn,798
2025-02-02 00:00:00,Manhattan,77994
2025-02-02 00:00:00,Queens,8509
2025-02-02 00:00:00,Staten Island,3
2025-02-02 00:00:00,Unknown,284
2025-02-03 00:00:00,Bronx,247
2025-02-03 00:00:00,Brooklyn,883
2025-02-03 00:00:00,EWR,1
2025-02-03 00:00:00,Manhattan,71932
2025-02-03 00:00:00,Queens,8330
2025-02-03 00:00:00,Staten Island,1
2025-02-03 00:00:00,Unknown,198
2025-02-04 00:00:00,Bronx,227
2025-02-04 00:00:00,Brooklyn,942
2025-02-04 00:00:00,EWR,2
2025-02-04 00:00:00,Manhattan,90359
2025-02-04 00:00:00,Queens,6954
2025-02-04 00:00:00,Staten Island,1
2025-02-04 00:00:00,Unknown,195
2025-02-05 00:00:00,Bronx,259
2025-02-05 00:00:00,Brooklyn,953
2025-02-05 00:00:00,EWR,4
2025-02-05 00:00:00,Manhattan,95726
2025-02-05 00:00:00,Queens,7330
2025-02-05 00:00:00,Staten Island,2
2025-02-05 00:00:00,Unknown,320
2025-02-06 00:00:00,Bronx,202
2025-02-06 00:00:00,Brooklyn,885
2025-02-06 00:00:00,EWR,6
2025-02-06 00:00:00,Manhattan,92716
2025-02-06 00:00:00,Queens,6865
2025-02-06 00:00:00,Staten Island,1
2025-02-06 00:00:00,Unknown,316
2025-02-07 00:00:00,Bronx,281
