date,total_trips
2025-07-19 00:00:00,85088
2025-07-20 00:00:00,77647
2025-07-21 00:00:00,82151
2025-07-22 00:00:00,91479
2025-07-23 00:00:00,96481
2025-07-24 00:00:00,97522
2025-07-25 00:00:00,91632
2025-07-26 00:00:00,85531
2025-07-27 00:00:00,74038
2025-07-28 00:00:00,87675
2025-07-29 00:00:00,99192
2025-07-30 00:00:00,101413
2025-07-31 00:00:00,94894
2025-08-01 00:00:00,83320
2025-08-02 00:00:00,79815
2025-08-03 00:00:00,71122
2025-08-04 00:00:00,77135
2025-08-05 00:00:00,88535
2025-08-06 00:00:00,94495
2025-08-07 00:00:00,89406
2025-08-08 00:00:00,81825
2025-08-09 00:00:00,74673
2025-08-10 00:00:00,67413
2025-08-11 00:00:00,75565
2025-08-12 00:00:00,88146
2025-08-13 00:00:00,98306
2025-08-14 00:00:00,92045
2025-08-15 00:00:00,82811
2025-08-16 00:00:00,79526
2025-08-17 00:00:00,73069
2025-08-18 00:00:00,72058
2025-08-19 00:00:00,81841
2025-08-20 00:00:00,96637
2025-08-21 00:00:00,87131
2025-08-22 00:00:00,82218
2025-08-23 00:00:00,83390
2025-08-24 00:00:00,73701
2025-08-25 00:00:00,73643
2025-08-26 00:00:00,83084
2025-08-27 00:00:00,86050
2025-08-28 00:00:00,86233
2025-08-29 00:00:00,81020
2025-08-30 00:00:00,79204
2025-08-31 00:00:00,70739
2025-09-01 00:00:00,64644
2025-09-02 00:00:00,89946
2025-09-03 00:00:00,101225
2025-09-04 00:00:00,109995
2025-09-05 00:00:00,104715
2025-09-06 00:00:00,97477
2025-09-07 00:00:00,82993
2025-09-08 00:00:00,92624
2025-09-09 00:00:00,104501
2025-09-10 00:00:00,110993
2025-09-11 00:00:00,112164
2025-09-12 00:00:00,108177
2025-09-13 00:00:00,106110
2025-09-14 00:00:00,90960
2025-09-15 00:00:00,95645
2025-09-16 00:00:00,108388
2025-09-17 00:00:00,113786
2025-09-18 00:00:00,117997
2025-09-19 00:00:00,109668
2025-09-20 00:00:00,106444
2025-09-21 00:00:00,91042
2025-09-22 00:00:00,89618
2025-09-23 00:00:00,88441
2025-09-24 00:00:00,101937
2025-09-25 00:00:00,110936
2025-09-26 00:00:00,109452
2025-09-27 00:00:00,108670
2025-09-28 00:00:00,89384
2025-09-29 00:00:00,93613
2025-09-30 00:00:00,106313
2025-10-01 00:00:00,104150
2025-10-02 00:00:00,101196
2025-10-03 00:00:00,104955
2025-10-04 00:00:00,102973
2025-10-05 00:00:00,86878
2025-10-06 00:00:00,92735
2025-10-07 00:00:00,104643
2025-10-08 00:00:00,112895
2025-10-09 00:00:00,120899
2025-10-10 00:00:00,112509
2025-10-11 00:00:00,108167
2025-10-12 00:00:00,87884
2025-10-13 00:00:00,82306
2025-10-14 00:00:00,107450
2025-10-15 00:00:00,114156
2025-10-16 00:00:00,121488
2025-10-17 00:00:00,112757
2025-10-18 00:00:00,106663
2025-10-19 00:00:00,93458
2025-10-20 00:00:00,98562
2025-10-21 00:00:00,105353
2025-10-22 00:00:00,113761
2025-10-23 00:00:00,121557
2025-10-24 00:00:00,112832
2025-10-25 00:00:00,108482
2025-10-26 00:00:00,92959
2025-10-27 00:00:00,96026
2025-10-28 00:00:00,107847
2025-10-29 00:00:00,112996
2025-10-30 00:00:00,106514
2025-10-31 00:00:00,114963
2025-11-01 00:00:00,112895
2025-11-02 00:00:00,95051
2025-11-03 00:00:00,97522
2025-11-04 00:00:00,101774
2025-11-05 00:00:00,111298
2025-11-06 00:00:00,120665
2025-11-07 00:00:00,112366
2025-11-08 00:00:00,110960
2025-11-09 00:00:00,92332
2025-11-10 00:00:00,101837
2025-11-11 00:00:00,99905
2025-11-12 00:00:00,109490
2025-11-13 00:00:00,117539
2025-11-14 00:00:00,113740
2025-11-15 00:00:00,112258
2025-11-16 00:00:00,93822
2025-11-17 00:00:00,99424
2025-11-18 00:00:00,110201
2025-11-19 00:00:00,113680
2025-11-20 00:00:00,118913
2025-11-21 00:00:00,111270
2025-11-22 00:00:00,105808
2025-11-23 00:00:00,85575
2025-11-24 00:00:00,91411
2025-11-25 00:00:00,103840
2025-11-26 00:00:00,90087
2025-11-27 00:00:00,58531
2025-11-28 00:00:00,73793
2025-11-29 00:00:00,84151
2025-11-30 00:00:00,78044
2025-12-01 00:00:00,96320
2025-12-02 00:00:00,109540
2025-12-03 00:00:00,114913
2025-12-04 00:00:00,126350
2025-12-05 00:00:00,119095
2025-12-06 00:00:00,113174
2025-12-07 00:00:00,94260
2025-12-08 00:00:00,107012
2025-12-09 00:00:00,115443
2025-12-10 00:00:00,117515
2025-12-11 00:00:00,125816
2025-12-12 00:00:00,122651
2025-12-13 00:00:00,113299
2025-12-14 00:00:00,86590
2025-12-15 00:00:00,101531
2025-12-16 00:00:00,109731
2025-12-17 00:00:00,111695
2025-12-18 00:00:00,114733
2025-12-19 00:00:00,110323
2025-12-20 00:00:00,102029
2025-12-21 00:00:00,80269
2025-12-22 00:00:00,82206
2025-12-23 00:00:00,79674
2025-12-24 00:00:00,66650
2025-12-25 00:00:00,41967
2025-12-26 00:00:00,60527
2025-12-27 00:00:00,59477
2025-12-28 00:00:00,64835
2025-12-29 00:00:00,74030
2025-12-30 00:00:00,80005
2025-12-31 00:00:00,71703
